concept_name|R1H_Days_of_Supply_95%|R1L_days of supply too lowDays_of_Supply_05%|R2H_Refils_95%|R3H_Quanitiy_of_Service_95%|R3L_Quanitiy_of_Service_05%|clinical drug concept_id|concept_code|R1H_Jitter|R1L_Jiter|R2H_Jitter|R3H_Jitter|R3L_Jitter
Amlodipine 10 MG / valsartan 320 MG Oral Tablet|90|30|6|90|30|1332526|722131|95|25|11|99|27
Amlodipine 5 MG / valsartan 160 MG Oral Tablet|90|30|5|90|30|1332527|722134|95|25|10|99|27
Amlodipine 5 MG / valsartan 320 MG Oral Tablet|90|30|6|90|30|1332528|722137|95|25|11|99|27
Busulfan 2 MG Oral Tablet|60|12|3|60|6|1333359|197422|65|7|8|66|5.4
10 ML arsenic trioxide 1 MG/ML Injection|28|28|2|200|200|1333381|829926|33|23|7|220|180
Ramipril 2.5 MG Oral Capsule|90|30|6|90|30|1334459|198188|95|25|11|99|27
Ramipril 5 MG Oral Capsule|90|30|6|180|30|1334460|198189|95|25|11|198|27
Ramipril 10 MG Oral Capsule|90|30|5|180|30|1334494|261962|95|25|10|198|27
Ramipril 1.25 MG Oral Capsule|90|30|6|90|30|1334535|845488|95|25|11|99|27
12 HR Disopyramide 100 MG Extended Release Oral Capsule|90|10|9|300|20|1335712|636793|95|5|14|330|18
12 HR Disopyramide 150 MG Extended Release Oral Capsule|90|10|7|300|20|1335713|636794|95|5|12|330|18
sunitinib 12.5 MG Oral Capsule|42|21|6|112|14|1336541|616279|47|16|11|123.2|12.6
sunitinib 25 MG Oral Capsule|42|21|7|30|14|1336624|616285|47|16|12|33|12.6
sunitinib 50 MG Oral Capsule|42|20|6|28|14|1336627|616289|47|15|11|30.8|12.6
tadalafil 10 MG Oral Tablet|60|10|6|12|3|1336975|484814|65|5|11|13.2|2.7
ambrisentan 10 MG Oral Tablet|30|30|10|30|30|1337070|722116|35|25|15|33|27
ambrisentan 5 MG Oral Tablet|30|30|10|30|30|1337103|722122|35|25|15|33|27
12 HR ranolazine 500 MG Extended Release Oral Tablet|90|14|8|180|28|1337111|616749|95|9|13|198|25.2
12 HR ranolazine 1000 MG Extended Release Oral Tablet|90|14|8|180|28|1337145|728231|95|9|13|198|25.2
Vorinostat 100 MG Oral Capsule|30|21|6|120|30|1337693|668579|35|16|11|132|27
Captopril 25 MG Oral Tablet|90|21|6|270|30|1340161|317173|95|16|11|297|27
Terazosin 1 MG Oral Capsule|100|28|6|200|28|1341268|313215|105|23|11|220|25.2
Terazosin 2 MG Oral Capsule|100|28|6|200|30|1341270|313217|105|23|11|220|27
Terazosin 5 MG Oral Capsule|100|30|6|180|30|1341302|313219|105|25|11|198|27
Toremifene 60 MG Oral Tablet|90|30|8|90|20|1342348|313428|95|25|13|99|18
trandolapril 2 MG Oral Tablet|90|30|6|164|30|1342441|199351|95|25|11|180.4|27
trandolapril 4 MG Oral Tablet|90|30|6|180|30|1342472|199352|95|25|11|198|27
trandolapril 1 MG Oral Tablet|90|30|7|90|28|1342473|199353|95|25|12|99|25.2
Triptorelin 3.75 MG Injection|30|28|8|1|1|1343040|199821|35|23|13|1.1|0.9
NDA019430 0.3 ML Epinephrine 0.5 MG/ML Auto-Injector|30|1|1|2|2|1344242|727316|35|-4|6|2.2|1.8
10 ML Epinephrine 0.1 MG/ML Prefilled Syringe|30|1|0|40|10|1344245|727373|35|-4|5|44|9
bicalutamide 50 MG Oral Tablet|90|21|7|90|21|1344403|199123|95|16|12|99|18.9
Carboplatin 10 MG/ML Injectable Solution|28|14|5|120|10|1344909|597195|33|9|10|132|9
Guanfacine 1 MG Oral Tablet|90|15|6|180|21|1344966|197745|95|10|11|198|18.9
Guanfacine 2 MG Oral Tablet|90|28|6|135|21|1344967|197746|95|23|11|148.5|18.9
carvedilol 3.125 MG Oral Tablet|90|15|7|180|30|1346990|686924|95|10|12|198|27
anastrozole 1 MG Oral Tablet|90|30|7|90|28|1348267|199224|95|25|12|99|25.2
cilostazol 100 MG Oral Tablet|90|29|6|180|30|1350311|242461|95|24|11|198|27
cilostazol 50 MG Oral Tablet|90|28|6|180|30|1350332|242462|95|23|11|198|27
Prazosin 5 MG Oral Capsule|90|15|5|180|28|1350490|198141|95|10|10|198|25.2
Etoposide 50 MG Oral Capsule|30|2|4|60|8|1350506|197687|35|-3|9|66|7.2
Prazosin 1 MG Oral Capsule|90|15|5|180|27|1350521|312593|95|10|10|198|24.3
Prazosin 2 MG Oral Capsule|90|15|5|180|26|1350552|312594|95|10|10|198|23.4
coenzyme Q10 30 MG Oral Capsule|30|23|13|84|23|1351120|198589|35|18|18|92.4|20.7
coenzyme Q10 50 MG Oral Capsule|90|28|13|90|28|1351144|199166|95|23|18|99|25.2
coenzyme Q10 150 MG Oral Capsule|90|14|1|180|28|1351145|199652|95|9|6|198|25.2
coenzyme Q10 200 MG Oral Tablet|31|30|11|62|31|1351148|241622|36|25|16|68.2|27.9
coenzyme Q10 100 MG Oral Capsule|90|8|13|112|14|1351153|252761|95|3|18|123.2|12.6
candesartan cilexetil 4 MG Oral Tablet|90|28|6|90|15|1351558|153822|95|23|11|99|13.5
candesartan cilexetil 8 MG Oral Tablet|90|30|6|135|30|1351559|153823|95|25|11|148.5|27
candesartan cilexetil 16 MG Oral Tablet|90|30|6|90|30|1351583|577776|95|25|11|99|27
candesartan cilexetil 32 MG Oral Tablet|90|30|6|90|30|1351587|639537|95|25|11|99|27
Leuprolide Acetate 5 MG/ML Injectable Solution|84|1|5|9|1|1351622|545835|89|-4|10|9.9|0.9
0.375 ML Leuprolide Acetate 120 MG/ML Prefilled Syringe|180|1|1|1|1|1351702|752884|185|-4|6|1.1|0.9
0.5 ML Leuprolide Acetate 60 MG/ML Prefilled Syringe|120|2|2|1|1|1351703|752889|125|-3|7|1.1|0.9
0.375 ML Leuprolide Acetate 60 MG/ML Prefilled Syringe|90|30|3|1|1|1351704|752894|95|25|8|1.1|0.9
0.25 ML Leuprolide Acetate 30 MG/ML Prefilled Syringe|30|28|6|1|1|1351705|752899|35|23|11|1.1|0.9
Procarbazine 50 MG Oral Capsule|30|3|3|49|8|1351781|314167|35|-2|8|53.9|7.2
Vitamin B6 100 MG Oral Tablet|90|12|13|90|12|1353231|198946|95|7|18|99|10.8
Vitamin B6 25 MG Oral Tablet|90|7|12|90|14|1353265|198951|95|2|17|99|12.6
Vitamin B6 250 MG Oral Tablet|30|30|0|30|30|1353266|198952|35|25|5|33|27
Folic Acid 2.2 MG / Vitamin B 12 0.5 MG / Vitamin B6 25 MG Oral Tablet|90|30|10|90|30|1353478|359542|95|25|15|99|27
Folic Acid 2.5 MG / Vitamin B 12 2 MG / Vitamin B6 25 MG Oral Tablet|90|21|12|90|21|1353546|484925|95|16|17|99|18.9
Folic Acid 2.2 MG / Vitamin B 12 1 MG / Vitamin B6 25 MG Oral Tablet|28|17|13|28|17|1353575|636528|33|12|18|30.8|15.3
Vitamin B6 50 MG Oral Tablet|90|14|10|90|9|1353578|639566|95|9|15|99|8.1
Folic Acid 2.5 MG / Vitamin B 12 1 MG / Vitamin B6 25 MG Oral Tablet|90|28|9|90|28|1353579|644787|95|23|14|99|25.2
Mesna 400 MG Oral Tablet|30|1|3|36|2|1354699|142113|35|-4|8|39.6|1.8
Petrolatum 330 MG/ML Topical Cream|28|10|5|212|106|1355812|2105862|33|5|10|233.2|95.4
Flutamide 125 MG Oral Capsule|90|10|8|510|30|1356482|197726|95|5|13|561|27
lapatinib 250 MG Oral Tablet|30|21|6|180|60|1359550|672149|35|16|11|198|54
Glucosamine Sulfate 500 MG Oral Tablet|31|28|13|168|28|1360333|199389|36|23|18|184.8|25.2
Glucosamine Sulfate 750 MG Oral Capsule|30|30|4|60|60|1360336|252735|35|25|9|66|54
Glucosamine Sulfate 1000 MG Oral Capsule|33|33|1|100|100|1360402|359572|38|28|6|110|90
Glucosamine 750 MG Oral Tablet|30|30|4|30|30|1360409|483561|35|25|9|33|27
Glucosamine hydrochloride 1500 MG Oral Tablet|90|30|7|200|60|1360436|723832|95|25|12|220|54
Nitroglycerin 0.02 MG/MG Topical Ointment|30|5|5|90|30|1361859|242946|35|0|10|99|27
Reserpine 0.1 MG Oral Tablet|30|30|5|60|60|1362227|198196|35|25|10|66|54
24 HR Nitroglycerin 0.6 MG/HR Transdermal System|90|30|8|90|30|1362358|486146|95|25|13|99|27
24 HR Nitroglycerin 0.2 MG/HR Transdermal System|90|30|8|90|30|1362360|486148|95|25|13|99|27
24 HR Nitroglycerin 0.4 MG/HR Transdermal System|90|30|8|90|30|1362392|486152|95|25|13|99|27
Doxazosin 1 MG Oral Tablet|90|20|7|120|20|1363057|197625|95|15|12|132|18
Doxazosin 2 MG Oral Tablet|90|28|6|135|28|1363058|197626|95|23|11|148.5|25.2
Doxazosin 4 MG Oral Tablet|90|30|6|135|30|1363059|197627|95|25|11|148.5|27
Doxazosin 8 MG Oral Tablet|90|30|6|90|30|1363060|197628|95|25|11|99|27
24 HR Doxazosin 8 MG Extended Release Oral Tablet|90|30|5|90|30|1363091|636361|95|25|10|99|27
sorafenib 200 MG Oral Tablet|30|28|6|120|30|1363389|597747|35|23|11|132|27
Emollient Tretinoin 0.5 MG/ML Topical Cream|40|15|2|80|40|1366464|2117659|45|10|7|88|36
Altretamine 50 MG Oral Capsule|28|12|4|168|21|1368825|197323|33|7|9|184.8|18.9
6-Aminocaproic Acid 500 MG Oral Tablet|30|2|4|360|12|1369940|197351|35|-3|9|396|10.8
6-Aminocaproic Acid 1000 MG Oral Tablet|30|2|1|120|7|1369968|476271|35|-3|6|132|6.3
6-Aminocaproic Acid 250 MG/ML Oral Solution|30|1|3|709.5|30|1369971|582299|35|-4|8|780.45|27
hydroxyurea 500 MG Oral Capsule|90|26|6|180|20|1377163|197797|95|21|11|198|18
Paclitaxel 6 MG/ML Injectable Solution|28|7|5|133.6|16.7|1378385|312199|33|2|10|146.96|15.03
Paclitaxel 100 MG Injection|28|7|5|9|2|1378388|583214|33|2|10|9.9|1.8
Topotecan 1 MG Oral Capsule|28|3|2|25|9|1378534|747193|33|-2|7|27.5|8.1
Topotecan 0.25 MG Oral Capsule|21|21|0|10|10|1378536|747195|26|16|5|11|9
Inositol 500 MG Oral Tablet|35|7|9|112|14|1379529|198712|40|2|14|123.2|12.6
Interferon Alfa-2b 10000000 UNT/ML Injectable Solution|35|14|9|32|3.2|1380129|545289|40|9|14|35.2|2.88
anagrelide 1 MG Oral Capsule|90|18|6|200|30|1381257|597852|95|13|11|220|27
Alprostadil 0.04 MG Injection|30|1|2|6|1|1381562|226921|35|-4|7|6.6|0.9
1 ML Alprostadil 0.5 MG/ML Injection|30|10|5|10|1|1381564|237212|35|5|10|11|0.9
Alprostadil 0.02 MG Injection|30|1|4|6|1|1381566|242691|35|-4|9|6.6|0.9
Alprostadil 0.125 MG Urethral Suppository|30|30|1|6|6|1381570|313829|35|25|6|6.6|5.4
0.5 ML Alprostadil 0.04 MG/ML Prefilled Syringe|29|12|6|12|2|1381624|763473|34|7|11|13.2|1.8
Isosorbide Mononitrate 10 MG Oral Tablet|90|7|9|180|14|1383849|311192|95|2|14|198|12.6
24 HR Isosorbide Mononitrate 120 MG Extended Release Oral Tablet|90|28|7|100|28|1383850|311196|95|23|12|110|25.2
Isosorbide Mononitrate 20 MG Oral Tablet|90|14|8|180|14|1383851|311197|95|9|13|198|12.6
24 HR Isosorbide Mononitrate 60 MG Extended Release Oral Tablet|90|28|7|135|28|1383869|353538|95|23|12|148.5|25.2
Isosorbide Dinitrate 30 MG Oral Tablet|90|14|7|180|15|1383930|197839|95|9|12|198|13.5
Isosorbide Dinitrate 40 MG Extended Release Oral Tablet|90|10|7|270|20|1383988|311194|95|5|12|297|18
Folic Acid 0.8 MG Oral Tablet|90|7|13|90|7|1387452|198641|95|2|18|99|6.3
Folic Acid 5 MG/ML Injectable Solution|30|30|0|10|10|1387458|237786|35|25|5|11|9
Ascorbic Acid 60 MG / Ferrous fumarate 460 MG / Folic Acid 1 MG / Vitamin B 12 0.01 MG Oral Capsule|29|5|0|29|5|1387632|348689|34|0|5|31.9|4.5
Leucovorin 15 MG Oral Tablet|90|2|6|72|4|1388798|197861|95|-3|11|79.2|3.6
Leucovorin 25 MG Oral Tablet|90|2|6|120|4|1388799|197862|95|-3|11|132|3.6
Leucovorin 5 MG Oral Tablet|90|12|6|65|4|1388800|197863|95|7|11|71.5|3.6
Leucovorin 350 MG Injection|28|7|11|6|1|1388801|237788|33|2|16|6.6|0.9
methylsulfonylmethane 1000 MG Oral Tablet|30|30|10|30|30|1389805|359779|35|25|15|33|27
red yeast rice 600 MG Oral Capsule|31|14|13|124|14|1389886|259132|36|9|18|136.4|12.6
Chlorambucil 2 MG Oral Tablet|50|3|5|90|10|1390063|197462|55|-2|10|99|9
Lomustine 10 MG Oral Capsule|42|1|2|3|1|1391847|197894|47|-4|7|3.3|0.9
Lomustine 100 MG Oral Capsule|42|1|3|2|1|1391848|197895|47|-4|8|2.2|0.9
Lomustine 40 MG Oral Capsule|42|1|2|5|1|1391849|197896|47|-4|7|5.5|0.9
Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet|90|30|5|90|30|1395060|197383|95|25|10|99|27
Chlorthalidone 25 MG Oral Tablet|90|30|6|90|15|1395073|197499|95|25|11|99|13.5
Chondroitin Sulfates 400 MG Oral Capsule|30|30|5|30|30|1395598|259147|35|25|10|33|27
Chondroitin Sulfates 200 MG / Glucosamine Sulfate 250 MG Oral Capsule|30|25|13|120|28|1395599|259844|35|20|18|132|25.2
Chondroitin Sulfates 400 MG / Glucosamine hydrochloride 500 MG Oral Tablet|60|7|13|180|14|1395619|428898|65|2|18|198|12.6
Chondroitin Sulfates 600 MG / Glucosamine hydrochloride 750 MG Oral Tablet|90|14|12|180|14|1395620|428899|95|9|17|198|12.6
Chondroitin Sulfate A Sodium 600 MG / Glucosamine Sulfate 750 MG Oral Tablet|31|30|10|124|30|1395621|476845|36|25|15|136.4|27
ferrous gluconate 325 MG Oral Tablet|30|14|7|30|14|1396016|198632|35|9|12|33|12.6
ferrous sulfate 75 MG/ML Oral Solution|33|10|13|300|50|1396256|251156|38|5|18|330|45
ferrous sulfate 134 MG Oral Tablet|30|30|5|60|30|1396261|259586|35|25|10|66|27
Ascorbic Acid 500 MG / ferrous sulfate 525 MG / Folic Acid 0.8 MG Extended Release Oral Tablet|30|30|0|30|30|1396301|313634|35|25|5|33|27
Ascorbic Acid 250 MG / Iron Carbonyl 100 MG Oral Tablet|90|12|13|90|12|1400501|242668|95|7|18|99|10.8
mercaptopurine 50 MG Oral Tablet|90|28|6|180|24|1436651|197931|95|23|11|198|21.6
Tamoxifen 20 MG Oral Tablet|90|30|7|90|30|1436683|313195|95|25|12|99|27
thyroid (USP) 180 MG Oral Tablet|90|28|6|90|15|1501352|198278|95|23|11|99|13.5
thyroid (USP) 240 MG Oral Tablet|90|30|6|90|26|1501460|313385|95|25|11|99|23.4
thyroid (USP) 30 MG Oral Tablet|90|28|6|180|28|1501492|313387|95|23|11|198|25.2
thyroid (USP) 60 MG Oral Tablet|90|28|6|160|28|1501496|313391|95|23|11|176|25.2
thyroid (USP) 90 MG Oral Tablet|90|28|6|90|16|1501498|313393|95|23|11|99|14.4
thyroid (USP) 15 MG Oral Tablet|90|28|6|180|21|1501501|314267|95|23|11|198|18.9
thyroid (USP) 300 MG Oral Tablet|90|30|6|90|15|1501544|315235|95|25|11|99|13.5
Tolazamide 250 MG Oral Tablet|100|14|6|300|14|1502811|198292|105|9|11|330|12.6
Tolazamide 500 MG Oral Tablet|100|30|3|200|30|1502812|198293|105|25|8|220|27
nateglinide 120 MG Oral Tablet|90|30|6|270|40|1502829|311919|95|25|11|297|36
nateglinide 60 MG Oral Tablet|90|25|6|270|30|1502830|314142|95|20|11|297|27
Tolbutamide 500 MG Oral Tablet|100|7|5|400|28|1502856|198294|105|2|10|440|25.2
0.2 ML lanreotide 300 MG/ML Prefilled Syringe|84|28|9|0.6|0.2|1503525|749811|89|23|14|0.66|0.18
0.5 ML lanreotide 240 MG/ML Prefilled Syringe|84|28|9|1.5|0.5|1503527|749814|89|23|14|1.65|0.45
0.3 ML lanreotide 300 MG/ML Prefilled Syringe|84|28|9|0.9|0.3|1503529|749817|89|23|14|0.99|0.27
Methimazole 10 MG Oral Tablet|90|24|5|180|15|1504621|197941|95|19|10|198|13.5
Methimazole 5 MG Oral Tablet|90|28|6|120|14|1504672|197942|95|23|11|132|12.6
Methylprednisolone 2 MG Oral Tablet|90|6|4|180|7|1506312|197969|95|1|9|198|6.3
Methylprednisolone 32 MG Oral Tablet|7|1|0|10|2|1506314|197971|12|-4|5|11|1.8
Methylprednisolone 8 MG Oral Tablet|75|1|3|100|5|1506315|197973|80|-4|8|110|4.5
Methylprednisolone 4 MG Oral Tablet|90|3|3|120|6|1506426|259966|95|-2|8|132|5.4
Methylprednisolone 40 MG Injection|28|1|14|21|1|1506430|311659|33|-4|19|23.1|0.9
Methylprednisolone 16 MG Oral Tablet|30|1|1|54|2|1506479|328161|35|-4|6|59.4|1.8
Methyltestosterone 10 MG Oral Capsule|90|25|4|180|15|1506605|197975|95|20|9|198|13.5
Methyltestosterone 10 MG Oral Tablet|100|28|2|270|8|1506606|197976|105|23|7|297|7.2
cortisone acetate 25 MG Oral Tablet|90|15|5|180|20|1507735|828248|95|10|10|198|18
1 ML testosterone cypionate 200 MG/ML Injection|90|14|4|7|1|1510812|2047882|95|9|9|7.7|0.9
Dextromethorphan Hydrobromide 5 MG / Guaifenesin 100 MG Oral Granules|30|6|0|120|12|1511044|2122356|35|1|5|132|10.8
NDA021457 200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler|75|16|5|25.5|8.5|1511246|2123072|80|11|10|28.05|7.65
NDA020983 200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler|60|16|5|54|18|1511247|2123076|65|11|10|59.4|16.2
NDA020503 200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler|90|16|4|20.1|6.7|1511248|2123111|95|11|9|22.11|6.03
Pulmonary Hypertension tadalafil 20 MG Oral Tablet|30|30|10|60|30|1511304|2123194|35|25|15|66|27
Danazol 100 MG Oral Capsule|90|7|9|180|9|1511450|197554|95|2|14|198|8.1
Danazol 200 MG Oral Capsule|90|15|7|180|16|1511451|197555|95|10|12|198|14.4
Danazol 50 MG Oral Capsule|90|14|7|180|14|1511682|197556|95|9|12|198|12.6
Insulin Lispro 25 UNT/ML / Insulin, Protamine Lispro, Human 75 UNT/ML Injectable Suspension|90|11|7|70|10|1513877|259111|95|6|12|77|9
3 ML Insulin Lispro 50 UNT/ML / Insulin, Protamine Lispro, Human 50 UNT/ML Pen Injector|90|14|6|90|15|1513913|847211|95|9|11|99|13.5
3 ML Insulin Lispro 25 UNT/ML / Insulin, Protamine Lispro, Human 75 UNT/ML Pen Injector|90|15|6|75|9|1513915|847252|95|10|11|82.5|8.1
insulin detemir 100 UNT/ML Injectable Solution|90|10|8|50|10|1516978|484322|95|5|13|55|9
3 ML insulin detemir 100 UNT/ML Pen Injector|90|10|7|60|3|1516980|847239|95|5|12|66|2.7
Desmopressin Acetate 0.1 MG Oral Tablet|90|14|9|180|14|1517147|849515|95|9|14|198|12.6
paricalcitol 0.001 MG Oral Capsule|90|14|7|90|7|1517768|577315|95|9|12|99|6.3
paricalcitol 0.002 MG Oral Capsule|90|14|7|90|7|1517770|577317|95|9|12|99|6.3
paricalcitol 0.004 MG Oral Capsule|90|28|7|90|8|1517792|577324|95|23|12|99|7.2
Niacin 100 MG Oral Tablet|90|4|11|93|10|1517827|198759|95|-1|16|102.3|9
Niacin 250 MG Oral Tablet|31|30|2|62|60|1517829|199143|36|25|7|68.2|54
Niacin 500 MG Oral Capsule|28|7|2|28|7|1517919|247747|33|2|7|30.8|6.3
Niacin 1000 MG Extended Release Oral Tablet|31|28|9|31|28|1517961|311949|36|23|14|34.1|25.2
Niacin 250 MG Extended Release Oral Tablet|30|30|9|30|30|1517987|311955|35|25|14|33|27
Niacin 500 MG Extended Release Oral Capsule|90|28|13|90|28|1517989|311959|95|23|18|99|25.2
Niacin 750 MG Extended Release Oral Tablet|30|30|5|30|30|1517991|311963|35|25|10|33|27
Niacin 250 MG Extended Release Oral Capsule|30|7|26|60|7|1518013|314131|35|2|31|66|6.3
Dexamethasone 0.5 MG Oral Tablet|90|1|5|100|2|1518258|197577|95|-4|10|110|1.8
Dexamethasone 1 MG Oral Tablet|31|1|2|90|1|1518259|197579|36|-4|7|99|0.9
Dexamethasone 2 MG Oral Tablet|31|2|2|90|4|1518261|197581|36|-3|7|99|3.6
Dexamethasone 4 MG Oral Tablet|56|2|4|80|4|1518292|197582|61|-3|9|88|3.6
Dexamethasone 6 MG Oral Tablet|90|1|2|540|2|1518293|197583|95|-4|7|594|1.8
Dexamethasone 1 MG/ML Ophthalmic Solution|90|7|3|15|5|1518490|226343|95|2|8|16.5|4.5
Etonogestrel 68 MG Drug Implant|365|1|0|1|1|1519937|389221|370|-4|5|1.1|0.9
Betaine 1000 MG Powder for Oral Solution|30|20|11|900|180|1520250|562847|35|15|16|990|162
Octreotide 0.2 MG/ML Injectable Solution|40|3|25|100|3|1522990|314152|45|-2|30|110|2.7
Diazoxide 50 MG/ML Oral Suspension|90|5|10|360|30|1523312|197593|95|0|15|396|27
5 ML zoledronic acid 0.8 MG/ML Injection|90|1|6|5|5|1524675|351114|95|-4|11|5.5|4.5
Oxandrolone 10 MG Oral Tablet|30|30|4|90|30|1524813|351276|35|25|9|99|27
pioglitazone 45 MG Oral Tablet|90|30|6|90|30|1525220|312441|95|25|11|99|27
pioglitazone 15 MG Oral Tablet|90|30|6|90|30|1525221|317573|95|25|11|99|27
Oxymetholone 50 MG Oral Tablet|30|30|4|120|30|1525762|199258|35|25|9|132|27
ezetimibe 10 MG Oral Tablet|90|30|6|90|30|1526476|349556|95|25|11|99|27
ezetimibe 10 MG / Simvastatin 20 MG Oral Tablet|90|30|6|90|30|1526479|476349|95|25|11|99|27
ezetimibe 10 MG / Simvastatin 80 MG Oral Tablet|90|30|7|90|30|1526480|476351|95|25|12|99|27
Acarbose 50 MG Oral Tablet|90|28|6|270|30|1529352|199149|95|23|11|297|27
salmon calcitonin 200 UNT/ACTUAT Nasal Spray|90|28|7|11.1|3.7|1537684|313919|95|23|12|12.21|3.33
Simvastatin 40 MG Oral Tablet|90|30|5|90|30|1539407|198211|95|25|10|99|27
Simvastatin 20 MG Oral Tablet|90|30|6|90|30|1539411|312961|95|25|11|99|27
Simvastatin 5 MG Oral Tablet|90|28|6|90|28|1539462|312962|95|23|11|99|25.2
Simvastatin 10 MG Oral Tablet|90|28|6|90|28|1539463|314231|95|23|11|99|25.2
ezetimibe 10 MG / Simvastatin 10 MG Oral Tablet|90|30|6|90|30|1539469|476345|95|25|11|99|27
Sodium phenylbutyrate 500 MG Oral Tablet|41|20|10|1500|240|1539955|199369|46|15|15|1650|216
3 ML Insulin, Glulisine, Human 100 UNT/ML Pen Injector|90|12|5|60|3|1544872|847259|95|7|10|66|2.7
atorvastatin 80 MG Oral Tablet|90|30|6|90|28|1545959|259255|95|25|11|99|25.2
atorvastatin 40 MG Oral Tablet|90|30|6|90|30|1545996|617311|95|25|11|99|27
atorvastatin 10 MG Oral Tablet|90|28|7|90|28|1545997|617312|95|23|12|99|25.2
rosiglitazone 2 MG Oral Tablet|90|14|6|120|28|1547508|312859|95|9|11|132|25.2
Estradiol 0.001 MG/MG Topical Gel|90|30|8|90|30|1548196|153444|95|25|13|99|27
Estradiol 0.5 MG Oral Tablet|90|30|7|90|28|1548197|197657|95|25|12|99|25.2
Estradiol 1 MG Oral Tablet|90|30|7|90|30|1548198|197658|95|25|12|99|27
Estradiol 2 MG Oral Tablet|90|30|7|90|30|1548199|197659|95|25|12|99|27
Estradiol 0.0006 MG/MG Topical Gel|90|20|5|156|26|1548339|226597|95|15|10|171.6|23.4
168 HR Estradiol 0.00312 MG/HR Transdermal System|84|28|8|12|4|1548363|241527|89|23|13|13.2|3.6
84 HR Estradiol 0.00156 MG/HR Transdermal System|84|28|8|24|8|1548364|241946|89|23|13|26.4|7.2
168 HR Estradiol 0.00104 MG/HR Transdermal System|84|28|8|12|4|1548365|242333|89|23|13|13.2|3.6
84 HR Estradiol 0.00208 MG/HR Transdermal System|84|28|8|24|8|1548368|242891|89|23|13|26.4|7.2
84 HR Estradiol 0.00417 MG/HR Transdermal System|84|28|8|24|8|1548369|242892|89|23|13|26.4|7.2
84 HR Estradiol 0.00104 MG/HR Transdermal System|84|28|8|24|8|1548416|248478|89|23|13|26.4|7.2
168 HR Estradiol 0.000583 MG/HR Transdermal System|86|28|8|12|4|1548803|476545|91|23|13|13.2|3.6
Estradiol 1.53 MG/ACTUAT Topical Spray|90|15|7|24.3|8.1|1548968|728118|95|10|12|26.73|7.29
90 DAY Estradiol 0.000313 MG/HR Vaginal Ring|90|84|3|1|1|1548999|848328|95|79|8|1.1|0.9
90 DAY Estradiol 0.00208 MG/HR Vaginal Ring|90|84|3|1|1|1549001|848331|95|79|8|1.1|0.9
90 DAY Estradiol 0.00417 MG/HR Vaginal Ring|90|60|3|1|1|1549023|848342|95|55|8|1.1|0.9
Estrogens, Conjugated (USP) 0.9 MG Oral Tablet|90|28|8|90|21|1549103|197661|95|23|13|99|18.9
Estrogens, Conjugated (USP) 1.25 MG Oral Tablet|90|15|8|90|15|1549104|197662|95|10|13|99|13.5
prednisolone 5 MG Oral Tablet|90|4|6|180|5|1550560|198142|95|-1|11|198|4.5
prednisolone 1 MG/ML Oral Solution|31|3|4|500|40|1550775|312614|36|-2|9|550|36
prednisolone 10 MG/ML Ophthalmic Solution|90|12|3|10|10|1550776|314165|95|7|8|11|9
prednisolone 1.2 MG/ML Ophthalmic Suspension|90|10|4|10|5|1551005|562379|95|5|9|11|4.5
prednisolone 10 MG Disintegrating Oral Tablet|30|3|3|90|3|1551010|643123|35|-2|8|99|2.7
prednisolone 15 MG Disintegrating Oral Tablet|30|3|2|60|5|1551042|643125|35|-2|7|66|4.5
prednisolone 30 MG Disintegrating Oral Tablet|30|2|0|51|2|1551044|643127|35|-3|5|56.1|1.8
prednisolone 2 MG/ML Oral Solution|35|5|3|525|25|1551093|794979|40|0|8|577.5|22.5
Prednisone 1 MG Oral Tablet|90|15|5|360|30|1551100|198144|95|10|10|396|27
Prednisone 10 MG Oral Tablet|60|4|3|90|7|1551101|198145|65|-1|8|99|6.3
Prednisone 2.5 MG Oral Tablet|90|12|5|180|14|1551122|198146|95|7|10|198|12.6
Prednisone 50 MG Oral Tablet|10|1|1|10|3|1551123|198148|15|-4|6|11|2.7
Prednisone 20 MG Oral Tablet|30|3|1|42|5|1551170|312615|35|-2|6|46.2|4.5
Prednisone 5 MG Oral Tablet|90|7|5|120|13|1551192|312617|95|2|10|132|11.7
Prednisone 1 MG/ML Oral Solution|40|3|5|600|40|1551193|315187|45|-2|10|660|36
Estrogens, Esterified (USP) 0.3 MG Oral Tablet|90|30|6|90|15|1551674|197666|95|25|11|99|13.5
Estrogens, Esterified (USP) 0.625 MG Oral Tablet|90|30|8|90|15|1551675|197667|95|25|13|99|13.5
Estrogens, Esterified (USP) 1.25 MG Oral Tablet|90|28|8|90|21|1551676|197668|95|23|13|99|18.9
Estrogens, Esterified (USP) 2.5 MG Oral Tablet|30|30|0|15|15|1551677|197669|35|25|5|16.5|13.5
Fenofibrate 160 MG Oral Tablet|90|30|6|90|30|1551838|349287|95|25|11|99|27
Fenofibrate 54 MG Oral Tablet|90|30|6|90|30|1551839|351133|95|25|11|99|27
Fenofibrate 48 MG Oral Tablet|90|14|7|90|14|1551924|477562|95|9|12|99|12.6
